data_snapshot;n_analistas;tarefas_existentes;tarefas_concluidas;tarefas_em_execucao;tarefas_em_fila;workload_total_h;workload_medio_por_analista_h;workload_max_analista_h;percentual_analistas_ociosos;fila_media_h;fila_max_h;lead_time_medio_concluidas_h;cenario;n_analistas_cenario;execucao
2026-01-01 09:00:00;5;1;0;1;0;4,0;0,8;4,0;80,0;0,0;0,0;0,0;cenario_1_base;5;cenario_1_base_5_analistas
2026-01-29 09:00:00;5;101;72;4;25;210,08333333305555;42,01666666661111;180,03333333333333;20,0;38,044;71,98333333333333;21,99421296283951;cenario_1_base;5;cenario_1_base_5_analistas
2026-02-26 09:00:00;5;201;141;5;55;502,0833333327778;100,41666666655556;286,0333333333333;0,0;68,7660606060606;167,98333333333335;38,681560283603226;cenario_1_base;5;cenario_1_base_5_analistas
2026-03-26 09:00:00;5;301;239;5;57;474,04999999999995;94,80999999999999;196,01666666666665;0,0;87,6842105263158;255,93333333333334;59,524407252371;cenario_1_base;5;cenario_1_base_5_analistas
2026-04-23 09:00:00;5;401;340;3;58;466,01666666666665;93,20333333333333;396,01666666666665;40,0;86,72988505747128;183,98333333333335;71,15186274504332;cenario_1_base;5;cenario_1_base_5_analistas
2026-05-21 09:00:00;5;501;390;3;108;812,0166666666667;162,40333333333334;502,01666666666665;40,0;113,67129629629632;263,9666666666667;79,50905982900001;cenario_1_base;5;cenario_1_base_5_analistas
2026-06-18 09:00:00;5;601;455;3;143;1076,0333333330555;215,20666666661108;588,0;40,0;152,1364801864802;336,0;91,8304029303413;cenario_1_base;5;cenario_1_base_5_analistas
2026-07-16 09:00:00;5;701;518;3;180;1428,0333333330555;285,6066666666111;984,0;40,0;183,2130555555556;439,93333333333334;111,4621621621005;cenario_1_base;5;cenario_1_base_5_analistas
2026-08-13 09:00:00;5;801;598;3;200;1606,0333333333333;321,20666666666665;1228,0;40,0;213,20700000000005;511,98333333333335;132,02006688956754;cenario_1_base;5;cenario_1_base_5_analistas
2026-09-10 09:00:00;5;901;680;5;216;1842,0666666661111;368,4133333332222;1450,0;0,0;238,85470679012346;504,0;153,0623529411107;cenario_1_base;5;cenario_1_base_5_analistas
2026-10-08 09:00:00;5;1000;772;5;223;1936,0999999991666;387,2199999998333;1722,0;0,0;300,95276532137524;616,0;161,65343264241582;cenario_1_base;5;cenario_1_base_5_analistas
2026-11-05 09:00:00;5;1000;814;1;185;1562,0;312,4;1562,0;80,0;459,2092792792793;735,9833333333333;171,362755937686;cenario_1_base;5;cenario_1_base_5_analistas
2026-12-03 09:00:00;5;1000;830;1;169;1402,0;280,4;1402,0;80,0;594,5692307692308;855,95;183,66126506017235;cenario_1_base;5;cenario_1_base_5_analistas
2026-12-31 09:00:00;5;1000;849;1;150;1242,0;248,4;1242,0;80,0;725,1926666666666;959,9833333333333;199,8706321161481;cenario_1_base;5;cenario_1_base_5_analistas
2027-01-28 09:00:00;5;1000;873;1;126;1082,0;216,4;1082,0;80,0;845,7444444444446;1055,9666666666667;222,65429553258085;cenario_1_base;5;cenario_1_base_5_analistas
2027-02-25 09:00:00;5;1000;893;1;106;922,0;184,4;922,0;80,0;971,0614779874217;1151,9833333333333;242,41269130266113;cenario_1_base;5;cenario_1_base_5_analistas
2027-03-25 09:00:00;5;1000;907;1;92;762,0;152,4;762,0;80,0;1106,5764492753624;1263,9666666666667;257,2326718117711;cenario_1_base;5;cenario_1_base_5_analistas
2027-04-22 09:00:00;5;1000;925;1;74;602,0;120,4;602,0;80,0;1234,670945945946;1367,9666666666667;277,67282882876725;cenario_1_base;5;cenario_1_base_5_analistas
2027-05-20 09:00:00;5;1000;942;1;57;442,0;88,4;442,0;80,0;1364,8798245614037;1448,0;298,42772469916105;cenario_1_base;5;cenario_1_base_5_analistas
2027-06-17 09:00:00;5;1000;964;1;35;282,0;56,4;282,0;80,0;1496,1942857142858;1535,95;325,7367392807155;cenario_1_base;5;cenario_1_base_5_analistas
2027-07-15 09:00:00;5;1000;988;1;11;122,0;24,4;122,0;80,0;1623,2424242424242;1632,0;356,6815452091191;cenario_1_base;5;cenario_1_base_5_analistas
2027-08-05 11:00:00;5;1000;1000;0;0;0,0;0,0;0,0;100,0;0,0;0,0;372,7629999999431;cenario_1_base;5;cenario_1_base_5_analistas
