analista;(Tudo);;;;;;;;;;;
;;;;;;;;;;;;
Média de conhecimento_k;Rótulos de Coluna;;;;;;;;;;;
Rótulos de Linha;Concorrencial;Contencioso;Contratos;Direito digital;Direito financeiro;Governança;Propriedade intelectual;Regulatório;Societário;Trabalhista;Tributário;Total Geral
jan;0,16055437;0,155264352;0,182535722;0,15665853;0,157948493;0,169884479;0,155875459;0,162538077;0,178082853;0,156014857;0,155198073;0,162777751
fev;0,177168513;0,167917624;0,26091432;0,170394184;0,175044579;0,205463996;0,156972027;0,176400965;0,258159837;0,157113074;0,155198073;0,187340654
mar;0,212738772;0,183875155;0,307836224;0,191489365;0,18787002;0,208736782;0,159007267;0,219925644;0,346266022;0,157397154;0,155198073;0,211849134
abr;0,223873986;0,199671948;0,351110435;0,200676879;0,202438885;0,211991626;0,160074272;0,256140023;0,394744678;0,159919811;0,155198073;0,228712783
mai;0,247895663;0,223640255;0,380705545;0,201179933;0,225266803;0,216198655;0,160074272;0,28192463;0,43603646;0,159919811;0,155198073;0,244367282
jun;0,249753315;0,231310621;0,441426442;0,219843437;0,246272645;0,222936418;0,160229412;0,301749087;0,47447658;0,159919811;0,164462383;0,261125468
jul;0,251938955;0,237929434;0,496821282;0,22270094;0,262421616;0,2389051;0,160385232;0,328996991;0,557596113;0,16181828;0,164462383;0,280361484
ago;0,266240933;0,244581158;0,565640546;0,229560494;0,280302702;0,239482606;0,160698913;0,349004221;0,608035464;0,162144249;0,164462383;0,297286697
set;0,305369246;0,252634308;0,618571667;0,230440052;0,297759777;0,267463479;0,161015319;0,357904867;0,675189596;0,174627011;0,164462383;0,318676155
out;0,361958265;0,268412319;0,680141764;0,237336209;0,324466217;0,291295045;0,161174545;0,375089027;0,710389701;0,188587403;0,164462383;0,342119352
nov;0,362860357;0,274654496;0,729648598;0,242461097;0,347867553;0,294677406;0,163306712;0,394128705;0,759156754;0,197918123;0,164462383;0,357376562
dez;0,362860357;0,274654496;0,737803157;0,246354651;0,347867553;0,30031069;0,169625472;0,402681871;0,759156754;0,213979746;0,164462383;0,361796103
Total Geral;0,264759104;0,224604644;0,476678184;0,210864925;0,254381635;0,238395818;0,160995702;0,297978861;0,506752173;0,172810995;0,160491964;0,269883091
