data_snapshot;n_analistas;tarefas_existentes;tarefas_concluidas;tarefas_em_execucao;tarefas_em_fila;workload_total_h;workload_medio_por_analista_h;workload_max_analista_h;percentual_analistas_ociosos;fila_media_h;fila_max_h;lead_time_medio_concluidas_h;cenario;n_analistas_cenario;execucao
2026-01-01 09:00:00.000000000;10;1;0;1;0;2,0;0,2;2,0;90,0;0,0;0,0;0,0;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
2026-01-29 09:00:00.000000000;10;301;163;6;132;1322,4333333330558;132,24333333330557;366,0;40,0;45,33749999999999;103,85;32,297750511174165;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
2026-02-26 09:00:00.000000000;10;601;316;9;276;2840,866666666389;284,0866666666389;830,15;10,0;95,97192028985508;215,98333333333335;59,738132911320335;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
2026-03-26 09:00:00.000000000;10;901;467;8;426;4198,633333332778;419,86333333327786;2178,116666666667;20,0;140,9550469483568;359,98333333333335;91,8903283368338;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
2026-04-23 09:00:00.000000000;10;1000;607;7;386;3830,5833333327782;383,0583333332778;2480,116666666667;30,0;251,86183074265972;455,7833333333333;125,75049423386052;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
2026-05-21 09:00:00.000000000;10;1000;713;3;284;2916,316666666389;291,6316666666389;2320,116666666667;70,0;400,7835680751174;599,9666666666667;161,14137447397928;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
2026-06-18 09:00:00.000000000;10;1000;758;3;239;2436,3166666658335;243,63166666658336;2160,116666666389;70,0;552,3501394700139;735,9333333333334;182,22585751971198;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
2026-07-16 09:00:00.000000000;10;1000;800;2;198;2030,2666666663888;203,02666666663887;2000,1166666666666;80,0;701,781313131313;871,7666666666667;207,55072916658747;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
2026-08-13 09:00:00.000000000;10;1000;815;1;184;1840,1166666666666;184,01166666666666;1840,1166666666666;90,0;854,9701992753623;935,9833333333333;219,7205521471602;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
2026-09-10 09:00:00.000000000;10;1000;828;1;171;1680,116666666389;168,0116666666389;1680,116666666389;90,0;1009,0049707602337;1087,9;232,1552133654596;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
2026-10-08 09:00:00.000000000;10;1000;854;1;145;1520,116666666389;152,0116666666389;1520,116666666389;90,0;1156,9582758620688;1223,9333333333334;259,8107923496471;cenario_4_concentrado_societario_sobrecarga;10;cenario_4_concentrado_societario_sobrecarga_10_analistas
