data_snapshot;n_analistas;tarefas_existentes;tarefas_concluidas;tarefas_em_execucao;tarefas_em_fila;workload_total_h;workload_medio_por_analista_h;workload_max_analista_h;percentual_analistas_ociosos;fila_media_h;fila_max_h;lead_time_medio_concluidas_h;cenario;n_analistas_cenario;execucao
2026-01-01 09:00:00.000000000;5;1;0;1;0;4,0;0,8;4,0;80,0;0,0;0,0;0,0;cenario_1_base;5;cenario_1_base_5_analistas
2026-01-15 09:00:00.000000000;5;51;39;4;8;78,16666666583332;15,633333333166664;76,01666666638889;20,0;19,970833333333335;39,93333333333334;11,115811965705127;cenario_1_base;5;cenario_1_base_5_analistas
2026-01-29 09:00:00.000000000;5;101;77;3;21;186,01666666666665;37,20333333333333;182,01666666666665;40,0;43,77380952380953;71,98333333333333;16,198701298593072;cenario_1_base;5;cenario_1_base_5_analistas
2026-02-12 09:00:00.000000000;5;151;113;5;33;312,1666666658333;62,43333333316666;262,01666666666665;0,0;64,93535353535354;135,93333333333334;20,449557522037857;cenario_1_base;5;cenario_1_base_5_analistas
2026-02-26 09:00:00.000000000;5;201;154;5;42;392,15;78,42999999999999;328,01666666666665;0,0;76,53809523809525;167,98333333333335;29,37900432891415;cenario_1_base;5;cenario_1_base_5_analistas
2026-03-12 09:00:00.000000000;5;251;203;4;44;378,09999999972223;75,61999999994444;372,0166666663889;20,0;102,14848484848484;192,0;35,19285714276957;cenario_1_base;5;cenario_1_base_5_analistas
2026-03-26 09:00:00.000000000;5;301;245;5;51;458,06666666611113;91,61333333322223;388,01666666666665;0,0;127,33888888888887;255,93333333333334;38,19387755093991;cenario_1_base;5;cenario_1_base_5_analistas
2026-04-09 09:00:00.000000000;5;351;290;4;57;460,13333333277774;92,02666666655554;428,01666666666665;20,0;149,16140350877194;287,98333333333335;41,45821839072223;cenario_1_base;5;cenario_1_base_5_analistas
2026-04-23 09:00:00.000000000;5;401;335;5;61;498,0999999991667;99,61999999983334;446,0166666663889;0,0;164,69071038251369;320,0;45,924079601901326;cenario_1_base;5;cenario_1_base_5_analistas
2026-05-07 09:00:00.000000000;5;451;382;4;65;512,0999999997222;102,41999999994444;484,01666666666665;20,0;177,07615384615386;343,95;50,89506980793776;cenario_1_base;5;cenario_1_base_5_analistas
2026-05-21 09:00:00.000000000;5;501;418;5;78;572,0833333325;114,4166666665;520,0166666666667;0,0;168,68653846153848;375,9666666666667;56,90287081330543;cenario_1_base;5;cenario_1_base_5_analistas
2026-06-04 09:00:00.000000000;5;551;474;4;73;572,0999999991667;114,41999999983334;524,0166666663889;20,0;199,20114155251142;384,0;60,57464838247304;cenario_1_base;5;cenario_1_base_5_analistas
2026-06-18 09:00:00.000000000;5;601;516;5;80;642,1333333322223;128,42666666644445;600,0166666666667;0,0;206,065;415,98333333333335;64,53126614977498;cenario_1_base;5;cenario_1_base_5_analistas
2026-07-02 09:00:00.000000000;5;651;559;5;87;690,0666666658334;138,01333333316668;586,0166666666667;0,0;214,21762452107285;431,95;68,18881932011728;cenario_1_base;5;cenario_1_base_5_analistas
2026-07-16 09:00:00.000000000;5;701;609;5;87;698,0666666661111;139,61333333322222;618,0166666666667;0,0;223,31992337164755;456,0;73,57736726864579;cenario_1_base;5;cenario_1_base_5_analistas
2026-07-30 09:00:00.000000000;5;751;663;1;87;676,0166666666667;135,20333333333332;676,0166666666667;80,0;245,11455938697324;479,98333333333335;75,92418300643581;cenario_1_base;5;cenario_1_base_5_analistas
2026-08-13 09:00:00.000000000;5;801;708;4;89;762,0333333330556;152,4066666666111;716,0166666666667;20,0;256,5940074906367;527,9333333333334;79,55555555545747;cenario_1_base;5;cenario_1_base_5_analistas
2026-08-27 09:00:00.000000000;5;851;748;5;98;864,1166666661111;172,82333333322222;792,0166666666667;0,0;250,90527210884355;520,0;83,63409090899363;cenario_1_base;5;cenario_1_base_5_analistas
2026-09-10 09:00:00.000000000;5;901;796;5;100;838,0833333330555;167,6166666666111;796,0166666666667;0,0;264,5268333333334;535,95;86,72849664982063;cenario_1_base;5;cenario_1_base_5_analistas
2026-09-24 09:00:00.000000000;5;951;846;2;103;846,0499999997222;169,20999999994444;846,0166666666667;60,0;291,3864077669903;583,95;87,65126083520718;cenario_1_base;5;cenario_1_base_5_analistas
2026-10-08 09:00:00.000000000;5;1000;877;5;118;1028,0333333330555;205,6066666666111;942,0166666666667;0,0;280,10494350282477;608,0;91,6903268718152;cenario_1_base;5;cenario_1_base_5_analistas
2026-10-22 09:00:00.000000000;5;1000;899;1;100;862,0166666666667;172,40333333333334;862,0166666666667;80,0;336,45016666666663;607,95;98,56047460131256;cenario_1_base;5;cenario_1_base_5_analistas
2026-11-05 09:00:00.000000000;5;1000;909;1;90;782,0166666666667;156,40333333333334;782,0166666666667;80,0;389,65888888888884;623,9666666666667;104,3165566555687;cenario_1_base;5;cenario_1_base_5_analistas
2026-11-19 09:00:00.000000000;5;1000;919;1;80;702,0166666663889;140,40333333327777;702,0166666663889;80,0;443,0697916666667;648,0;110,16933260781131;cenario_1_base;5;cenario_1_base_5_analistas
2026-12-03 09:00:00.000000000;5;1000;928;1;71;622,0166666666667;124,40333333333334;622,0166666666667;80,0;499,46220657276984;679,9666666666667;115,69992816082434;cenario_1_base;5;cenario_1_base_5_analistas
2026-12-17 09:00:00.000000000;5;1000;936;1;63;542,0166666666667;108,40333333333334;542,0166666666667;80,0;559,2068783068781;719,95;120,69385683751217;cenario_1_base;5;cenario_1_base_5_analistas
2026-12-31 09:00:00.000000000;5;1000;945;1;54;462,0166666663889;92,40333333327779;462,0166666663889;80,0;615,375925925926;759,9833333333333;126,69557319214492;cenario_1_base;5;cenario_1_base_5_analistas
2027-01-14 09:00:00.000000000;5;1000;953;1;46;382,01666666666665;76,40333333333334;382,01666666666665;80,0;674,0554347826088;791,9666666666667;132,23217908349918;cenario_1_base;5;cenario_1_base_5_analistas
2027-01-28 09:00:00.000000000;5;1000;966;1;33;302,01666666666665;60,40333333333333;302,01666666666665;80,0;722,6358585858586;791,9833333333333;141,2660455485582;cenario_1_base;5;cenario_1_base_5_analistas
2027-02-11 09:00:00.000000000;5;1000;976;1;23;222,0166666663889;44,40333333327778;222,0166666663889;80,0;781,8804347826089;815,95;148,1976434425276;cenario_1_base;5;cenario_1_base_5_analistas
2027-02-25 09:00:00.000000000;5;1000;983;1;16;142,0166666663889;28,40333333327778;142,0166666663889;80,0;852,4677083333333;872,0;153,2032892504979;cenario_1_base;5;cenario_1_base_5_analistas
2027-03-11 09:00:00.000000000;5;1000;995;1;4;62,016666666388886;12,403333333277777;62,016666666388886;80,0;905,9625000000001;911,9833333333333;162,27396984914967;cenario_1_base;5;cenario_1_base_5_analistas
2027-03-22 15:00:59.999999999;5;1000;1000;0;0;0,0;0,0;0,0;100,0;0,0;0,0;166,17653333323668;cenario_1_base;5;cenario_1_base_5_analistas
