data_snapshot;Coluna1;area;conhecimento_total_area;hhi_conhecimento;share_top1;share_top2;analista_top1;analista_top2;n_analistas_com_conhecimento;cenario;n_analistas_cenario;execucao
01/01/2026;09:00:00.000000000;Concorrencial;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
01/01/2026;09:00:00.000000000;Contencioso;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
01/01/2026;09:00:00.000000000;Contratos;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
01/01/2026;09:00:00.000000000;Direito digital;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
01/01/2026;09:00:00.000000000;Direito financeiro;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
01/01/2026;09:00:00.000000000;Governança;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
01/01/2026;09:00:00.000000000;Propriedade intelectual;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
01/01/2026;09:00:00.000000000;Regulatório;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
01/01/2026;09:00:00.000000000;Societário;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
01/01/2026;09:00:00.000000000;Trabalhista;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
01/01/2026;09:00:00.000000000;Tributário;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Concorrencial;1,097821486;0,142950138;0,151785193;0,293154327;Caim;Jacó;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Contencioso;1,087314416;0,142857767;0,14358862;0,28632385;Eva;Jacó;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Contratos;1,355520351;0,156956649;0,216982071;0,427533223;Adão;Davi;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Direito digital;1,103787223;0,143070161;0,156369615;0,296974679;Esaú;Jacó;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Direito financeiro;1,099791521;0,142984483;0,153304584;0,294420486;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Governança;1,123211514;0,14324761;0,159126124;0,307480236;Abraão;Jacó;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Propriedade intelectual;1,090125262;0,142867225;0,145796844;0,288164036;Abraão;Jacó;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Regulatório;1,146706304;0,14522889;0,187945129;0,323287607;Caim;Jacó;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Societário;1,269808963;0,150362518;0,199614243;0,388892039;Eva;Abraão;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Trabalhista;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
15/01/2026;09:00:00.000000000;Tributário;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Concorrencial;1,16903807;0,144679158;0,172397737;0,336214631;Abraão;Caim;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Contencioso;1,087314416;0,142857767;0,14358862;0,28632385;Eva;Jacó;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Contratos;1,793620739;0,198541203;0,292531131;0,567360953;Davi;Adão;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Direito digital;1,107857495;0,143179093;0,159469116;0,299557597;Esaú;Jacó;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Direito financeiro;1,124892393;0,143861493;0,172197763;0,310164802;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Governança;1,270874118;0,148252907;0,19630989;0,370635528;Abraão;Esaú;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Propriedade intelectual;1,09573794;0,142877377;0,1459134;0,290963431;Abraão;Caim;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Regulatório;1,194125229;0,149834598;0,220191972;0,350159977;Caim;Jacó;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Societário;1,394557562;0,160633671;0,23474582;0,443558023;Abraão;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Trabalhista;1,097821486;0,142950138;0,151785193;0,293154327;Esaú;Jacó;7;cenario_1_base;7;cenario_1_base_7_analistas
29/01/2026;09:00:00.000000000;Tributário;1,086386513;0,142857143;0,142857143;0,285714286;Jacó;Eva;7;cenario_1_base;7;cenario_1_base_7_analistas
12/02/2026;09:00:00.000000000;Concorrencial;1,170176569;0,144733851;0,173202935;0,336860447;Abraão;Caim;7;cenario_1_base;7;cenario_1_base_7_analistas
12/02/2026;09:00:00.000000000;Contencioso;1,131652975;0,143530403;0,165398546;0,312646023;Jacó;Abraão;7;cenario_1_base;7;cenario_1_base_7_analistas
12/02/2026;09:00:00.000000000;Contratos;2,22465243;0,236691356;0,338546971;0,651185796;Davi;Adão;7;cenario_1_base;7;cenario_1_base_7_analistas
