analista;(Tudo);;;;;;;;;;;
;;;;;;;;;;;;
Média de conhecimento_k;Rótulos de Coluna;;;;;;;;;;;
Rótulos de Linha;Concorrencial;Contencioso;Contratos;Direito digital;Direito financeiro;Governança;Propriedade intelectual;Regulatório;Societário;Trabalhista;Tributário;Total Geral
jan;0,159678384;0,155286445;0,20169179;0,157049106;0,15767002;0,165736769;0,155821415;0,163200859;0,178607287;0,155742596;0,155198073;0,164152977
fev;0,170658392;0,164923508;0,337466691;0,176516948;0,170657022;0,188640035;0,156871214;0,177760846;0,261616069;0,157100993;0,155198073;0,192491799
mar;0,201709132;0,182976699;0,380668006;0,192100846;0,192021115;0,19704876;0,159298072;0,216605074;0,341324849;0,157370345;0,155198073;0,216029179
abr;0,20609696;0,20802097;0,391282293;0,196940212;0,200804527;0,204417265;0,159853877;0,251296508;0,375993782;0,159563849;0,155198073;0,228133483
mai;0,224088638;0,224314547;0,39492777;0,210751756;0,232849321;0,218922906;0,159922101;0,270328463;0,385751703;0,159701305;0,155198073;0,239705144
jun;0,245971119;0,226647074;0,396028427;0,226130717;0,258663509;0,233315247;0,160272171;0,274554678;0,39147995;0,161492585;0,164462382;0,249001624
jul;0,288477157;0,243119102;0,396448088;0,235560453;0,27174152;0,249963455;0,160785716;0,275433724;0,395395929;0,178155193;0,164462382;0,259958429
ago;0,321760964;0,264412723;0,396550446;0,242730707;0,274698323;0,263129288;0,162632574;0,275668935;0,39638536;0,186484894;0,164462382;0,268083327
set;0,370602526;0,276131318;0,396565354;0,245079018;0,275289873;0,283249358;0,167089573;0,275795363;0,396540216;0,196736123;0,164462382;0,277049191
out;0,398124657;0,279328559;0,396569009;0,246602722;0,275484901;0,299823379;0,17017233;0,275848218;0,396562557;0,197075396;0,164462382;0,281823101
Total Geral;0,255567791;0,220396702;0,362478892;0,211433388;0,229507809;0,228372416;0,161002055;0,243255451;0,346059937;0,170579289;0,159830228;0,235316723
