data_snapshot;n_analistas;tarefas_existentes;tarefas_concluidas;tarefas_em_execucao;tarefas_em_fila;workload_total_h;workload_medio_por_analista_h;workload_max_analista_h;percentual_analistas_ociosos;fila_media_h;fila_max_h;lead_time_medio_concluidas_h;cenario;n_analistas_cenario;execucao
2026-01-01 09:00:00.000000000;5;1;0;1;0;2,0;0,4;2,0;80,0;0,0;0,0;0,0;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-01-15 09:00:00.000000000;5;51;38;5;8;84,1166666661111;16,82333333322222;28,016666666666666;0,0;12,964583333333334;31,95;13,612280701666668;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-01-29 09:00:00.000000000;5;101;91;5;5;68,09999999972223;13,619999999944445;54,016666666666666;0,0;15,970000000000002;23,983333333333334;18,249450549331502;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-02-12 09:00:00.000000000;5;151;134;5;12;196,03333333305557;39,20666666661111;72,0;0,0;19,9625;32,0;19,535696517317582;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-02-26 09:00:00.000000000;5;201;168;5;28;282,0666666658333;56,413333333166655;104,0;0,0;33,3922619047619;71,93333333333334;23,12559523800099;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-03-12 09:00:00.000000000;5;251;213;5;33;382,03333333277783;76,40666666655557;160,0166666663889;0,0;44,08787878787879;87,98333333333333;29,765805946696666;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-03-26 09:00:00.000000000;5;301;248;4;49;494,08333333250005;98,81666666650001;236,0166666663889;20,0;58,089455782312925;135,95;34,27936827947133;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-04-09 09:00:00.000000000;5;351;289;5;57;640,0499999991667;128,00999999983335;312,0;0,0;77,15877192982457;143,96666666666667;40,189215686176475;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-04-23 09:00:00.000000000;5;401;330;5;66;846,0833333327778;169,21666666655557;416,0166666663889;0,0;90,02525252525253;175,96666666666667;46,842828282724746;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-05-07 09:00:00.000000000;5;451;371;5;75;942,0333333327778;188,40666666655557;454,0;0,0;122,09688888888891;239,93333333333334;48,8127583107682;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-05-21 09:00:00.000000000;5;501;412;4;85;1034,0666666666666;206,81333333333333;506,0;20,0;141,89333333333335;271,95;53,7439320387318;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-06-04 09:00:00.000000000;5;551;447;4;100;1124,016666666389;224,8033333332778;550,0;20,0;157,72500000000002;311,98333333333335;58,10219985075938;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-06-18 09:00:00.000000000;5;601;480;4;117;1292,0333333327778;258,40666666655557;628,0;20,0;175,96652421652425;368,0;63,05163194434665;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-07-02 09:00:00.000000000;5;651;519;4;128;1544,133333332778;308,8266666665556;760,0166666663889;20,0;183,71705729166666;399,98333333333335;71,93481053297741;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-07-16 09:00:00.000000000;5;701;559;3;139;1594,016666666389;318,8033333332778;800,0166666663889;40,0;201,29196642685852;423,93333333333334;78,57516398320413;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-07-30 09:00:00.000000000;5;751;590;3;158;1716,0166666666667;343,2033333333333;850,0;40,0;221,38575949367086;455,98333333333335;83,161327683516;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-08-13 09:00:00.000000000;5;801;625;4;172;1894,016666666389;378,8033333332778;942,0;20,0;241,50155038759692;487,98333333333335;89,73837333323691;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-08-27 09:00:00.000000000;5;851;668;4;179;2034,016666666389;406,8033333332778;992,0;20,0;261,106052141527;511,93333333333334;97,71252495000542;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-09-10 09:00:00.000000000;5;901;707;5;189;2040,0499999994445;408,0099999998889;1000,0;0,0;276,07275132275134;551,9666666666667;106,25591702017917;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-09-24 09:00:00.000000000;5;951;750;4;197;2214,016666666389;442,8033333332778;1098,0;20,0;301,1241116751269;583,9333333333334;111,62951111101631;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-10-08 09:00:00.000000000;5;1000;784;3;213;2352,016666666389;470,4033333332778;1162,0166666663888;40,0;322,7456181533647;631,9833333333333;116,07346938765944;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-10-22 09:00:00.000000000;5;1000;803;2;195;2144,016666666389;428,8033333332778;1082,0166666663888;60,0;398,7357264957265;687,95;122,47198007462434;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
